,model,dataset,n_classes_per_task,domain_inc,pretrained,task_idx,perf_metric,sim_metric,corr_value
119,resnet,cifar-100,20,False,False,4.0,all_transfers,kl_div,0.9300190711328923
240,resnet,cifar-100,20,True,False,1.0,all_cl_accs,prototypes_sim,-0.6016948474052936
241,resnet,cifar-100,20,True,False,1.0,all_cl_accs,entropy_ratio,0.8402901705876669
242,resnet,cifar-100,20,True,False,1.0,all_cl_accs,wass_dist,-0.6990878151703446
243,resnet,cifar-100,20,True,False,1.0,all_cl_accs,subspace_overlap,0.9028553154277558
244,resnet,cifar-100,20,True,False,1.0,all_cl_accs,task2vec_final_layer,0.673144248586355
245,resnet,cifar-100,20,True,False,1.0,all_cl_accs,trace_overlap,-0.9908267949647658
246,resnet,cifar-100,20,True,False,1.0,all_cl_accs,max_logit_ratio,-0.5880963309929224
247,resnet,cifar-100,20,True,False,1.0,all_cl_accs,task2vec_all_layers,-0.919496442218019
248,resnet,cifar-100,20,True,False,1.0,all_cl_accs,max_prob_ratio,-0.45182815789627906
249,resnet,cifar-100,20,True,False,1.0,all_cl_accs,kl_div,-0.17718057963954217
250,resnet,cifar-100,20,True,False,1.0,all_fgts,prototypes_sim,0.046200160742134753
251,resnet,cifar-100,20,True,False,1.0,all_fgts,entropy_ratio,-0.9996508363483317
252,resnet,cifar-100,20,True,False,1.0,all_fgts,wass_dist,0.9806051741589037
253,resnet,cifar-100,20,True,False,1.0,all_fgts,subspace_overlap,-0.9880156321528539
254,resnet,cifar-100,20,True,False,1.0,all_fgts,task2vec_final_layer,-0.1386000229390691
255,resnet,cifar-100,20,True,False,1.0,all_fgts,trace_overlap,0.8943357359170448
256,resnet,cifar-100,20,True,False,1.0,all_fgts,max_logit_ratio,0.9418546846745568
257,resnet,cifar-100,20,True,False,1.0,all_fgts,task2vec_all_layers,0.5374352292625478
258,resnet,cifar-100,20,True,False,1.0,all_fgts,max_prob_ratio,0.876343667751109
259,resnet,cifar-100,20,True,False,1.0,all_fgts,kl_div,-0.40893232262841833
260,resnet,cifar-100,20,True,False,1.0,all_transfers,prototypes_sim,-0.4083861822634128
261,resnet,cifar-100,20,True,False,1.0,all_transfers,entropy_ratio,0.9400422615962367
262,resnet,cifar-100,20,True,False,1.0,all_transfers,wass_dist,-0.840961074703634
263,resnet,cifar-100,20,True,False,1.0,all_transfers,subspace_overlap,0.9760074545529143
264,resnet,cifar-100,20,True,False,1.0,all_transfers,task2vec_final_layer,0.49124317170445736
265,resnet,cifar-100,20,True,False,1.0,all_transfers,trace_overlap,-0.9960079730049871
266,resnet,cifar-100,20,True,False,1.0,all_transfers,max_logit_ratio,-0.7536771442683803
267,resnet,cifar-100,20,True,False,1.0,all_transfers,task2vec_all_layers,-0.8086546502803845
268,resnet,cifar-100,20,True,False,1.0,all_transfers,max_prob_ratio,-0.6394244905587635
269,resnet,cifar-100,20,True,False,1.0,all_transfers,kl_div,0.04679790083355627
270,resnet,cifar-100,20,True,False,2.0,all_cl_accs,prototypes_sim,-0.09449094313180696
271,resnet,cifar-100,20,True,False,2.0,all_cl_accs,entropy_ratio,-0.8803509617908741
272,resnet,cifar-100,20,True,False,2.0,all_cl_accs,wass_dist,-0.8865593825052792
273,resnet,cifar-100,20,True,False,2.0,all_cl_accs,subspace_overlap,-0.5657456751294816
274,resnet,cifar-100,20,True,False,2.0,all_cl_accs,task2vec_final_layer,-0.628311544121055
275,resnet,cifar-100,20,True,False,2.0,all_cl_accs,trace_overlap,0.6600873846331172
276,resnet,cifar-100,20,True,False,2.0,all_cl_accs,max_logit_ratio,0.3685640311997675
277,resnet,cifar-100,20,True,False,2.0,all_cl_accs,task2vec_all_layers,-0.9894551069086345
278,resnet,cifar-100,20,True,False,2.0,all_cl_accs,max_prob_ratio,0.12030482792879531
279,resnet,cifar-100,20,True,False,2.0,all_cl_accs,kl_div,-0.8959080563931014
280,resnet,cifar-100,20,True,False,2.0,all_fgts,prototypes_sim,-0.15705541992265695
281,resnet,cifar-100,20,True,False,2.0,all_fgts,entropy_ratio,0.970895549799718
282,resnet,cifar-100,20,True,False,2.0,all_fgts,wass_dist,0.7429811864726955
283,resnet,cifar-100,20,True,False,2.0,all_fgts,subspace_overlap,0.7537025809608385
284,resnet,cifar-100,20,True,False,2.0,all_fgts,task2vec_final_layer,0.8026478804313808
285,resnet,cifar-100,20,True,False,2.0,all_fgts,trace_overlap,-0.45163283031852614
286,resnet,cifar-100,20,True,False,2.0,all_fgts,max_logit_ratio,-0.5889866279010139
287,resnet,cifar-100,20,True,False,2.0,all_fgts,task2vec_all_layers,0.9942820984724758
288,resnet,cifar-100,20,True,False,2.0,all_fgts,max_prob_ratio,-0.3643525012756075
289,resnet,cifar-100,20,True,False,2.0,all_fgts,kl_div,0.7566215704236482
290,resnet,cifar-100,20,True,False,2.0,all_transfers,prototypes_sim,0.35629498008146765
291,resnet,cifar-100,20,True,False,2.0,all_transfers,entropy_ratio,-0.9993783264579689
292,resnet,cifar-100,20,True,False,2.0,all_transfers,wass_dist,-0.5898897049740452
293,resnet,cifar-100,20,True,False,2.0,all_transfers,subspace_overlap,-0.87248697712364
294,resnet,cifar-100,20,True,False,2.0,all_transfers,task2vec_final_layer,-0.9079275974530521
295,resnet,cifar-100,20,True,False,2.0,all_transfers,trace_overlap,0.25901602845006727
296,resnet,cifar-100,20,True,False,2.0,all_transfers,max_logit_ratio,0.7422324795017091
297,resnet,cifar-100,20,True,False,2.0,all_transfers,task2vec_all_layers,-0.9512351708766636
298,resnet,cifar-100,20,True,False,2.0,all_transfers,max_prob_ratio,0.5476296449172318
299,resnet,cifar-100,20,True,False,2.0,all_transfers,kl_div,-0.6064111158239607
300,resnet,cifar-100,20,True,False,3.0,all_cl_accs,prototypes_sim,0.08013621220187557
301,resnet,cifar-100,20,True,False,3.0,all_cl_accs,entropy_ratio,-0.5031620950985612
302,resnet,cifar-100,20,True,False,3.0,all_cl_accs,wass_dist,0.8195173656274822
303,resnet,cifar-100,20,True,False,3.0,all_cl_accs,subspace_overlap,0.7570898046835229
304,resnet,cifar-100,20,True,False,3.0,all_cl_accs,task2vec_final_layer,-0.9579247790523243
305,resnet,cifar-100,20,True,False,3.0,all_cl_accs,trace_overlap,-0.5028844560373383
306,resnet,cifar-100,20,True,False,3.0,all_cl_accs,max_logit_ratio,0.7386950245690939
307,resnet,cifar-100,20,True,False,3.0,all_cl_accs,task2vec_all_layers,0.4913710838406163
308,resnet,cifar-100,20,True,False,3.0,all_cl_accs,max_prob_ratio,0.2280142792081288
309,resnet,cifar-100,20,True,False,3.0,all_cl_accs,kl_div,0.35036295531559214
310,resnet,cifar-100,20,True,False,3.0,all_fgts,prototypes_sim,-0.9664743920361786
311,resnet,cifar-100,20,True,False,3.0,all_fgts,entropy_ratio,-0.6470041039311442
312,resnet,cifar-100,20,True,False,3.0,all_fgts,wass_dist,-0.8134862908294007
313,resnet,cifar-100,20,True,False,3.0,all_fgts,subspace_overlap,0.36353120132911143
314,resnet,cifar-100,20,True,False,3.0,all_fgts,task2vec_final_layer,0.5899585481695091
315,resnet,cifar-100,20,True,False,3.0,all_fgts,trace_overlap,0.982559140419207
316,resnet,cifar-100,20,True,False,3.0,all_fgts,max_logit_ratio,0.3892068626341634
317,resnet,cifar-100,20,True,False,3.0,all_fgts,task2vec_all_layers,-0.9849400123590055
318,resnet,cifar-100,20,True,False,3.0,all_fgts,max_prob_ratio,0.841937979990422
